pin,address,billing_city,current_delq,prior_years,state_description,neighborhood,council_district,ward,tact,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
0045S00062000000,703 CHAUTAUQUA CT,"PITTSBURGH, PA",476.5,1,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01793469,40.46372149
0045S00063000000,701 CHAUTAUQUA CT,"PITTSBURGH, PA",0.93,2,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01787022,40.46372687
0045S00090000000,0 CHESTER AVE,"PITTSBURGH, PA",7.62,11,Residential,Perry South,6,26,42003261400,1,26,1,1-12,-80.0178945,40.46463854
0045S00102000000,630 CHAUTAUQUA ST,"YOUNGSTOWN, OH",973.98,4,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01779838,40.46423413
0045S00104000000,628 CHAUTAUQUA ST,"PITTSBURGH, PA",867.24,20,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01770351,40.46430889
0045S00106000000,624 CHAUTAUQUA ST,"VALENCIA, PA",880.57,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01760179,40.46435354
0045S00107000000,622 CHAUTAUQUA ST,"PITTSBURGH, PA",350.49,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01755,40.46437338
0045S00109000000,620 CHAUTAUQUA ST,"PITTSBURGH, PA",548.04,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01745118,40.46441082
0045S00123000000,536 CHAUTAUQUA ST,"PITTSBURGH, PA",836.74,0,Residential,Perry South,6,26,42003261400,1,26,1,1-12,-80.01633734,40.46486099
0045S00130000000,551 CHAUTAUQUA ST,"PITTSBURGH, PA",190.6,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01656019,40.46420251
0045S00134000000,609 CHAUTAUQUA ST,"PITTSBURGH, PA",228.72,1,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01683273,40.46409667
0045S00135000000,611 CHAUTAUQUA ST,"PITTSBURGH, PA",665.2,15,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01688417,40.46406802
0045S00136000000,613 CHAUTAUQUA ST,"SOUTH AMBOY, NJ",383.11,3,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01693698,40.46404271
0045S00137000000,0 CHAUTAUQUA ST,"E PITTSBURGH, PA",676.64,16,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01698596,40.46401782
0045S00138000000,0 CHAUTAUQUA ST,"PITTSBURGH, PA",15.25,14,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01703506,40.46399268
0045S00139000000,619 CHAUTAUQUA ST,"PITTSBURGH, PA",247.44,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01708758,40.46396857
0045S00180000A00,711 MELROSE AVE,"PITTSBURGH, PA",333.2,3,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01711,40.46309318
0045S00181000000,711 MELROSE AVE,"PITTSBURGH, PA",106.74,2,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01706495,40.46312024
0045S00181000A00,711 MELROSE AVE,"PITTSBURGH, PA",106.74,2,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01702024,40.46314605
0045S00182000000,711 MELROSE AVE,"PITTSBURGH, PA",569.9,2,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01694669,40.4631946
0045S00190000000,613 MELROSE AVE,"PITTSBURGH, PA",253.14,4,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01653526,40.46345854
0045S00191000000,0 MELROSE AVE,"GRAND RAPIDS, MI",569.9,5,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01644761,40.46351036
0045S00254000000,0 MELROSE AVE,"PITTSBURGH, PA",562.28,10,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01803464,40.46252289
0045S00334000000,0 STRAUSS ST,"PITTSBURGH, PA",43.85,10,Residential,Perry South,6,26,42003261400,1,26,1,1-12,-80.02003834,40.46458205
0045S00334000A00,0 STRAUSS ST,"PITTSBURGH, PA",38.12,10,Residential,Perry South,6,26,42003261400,1,26,1,1-12,-80.02003723,40.46454448
0045S00336000000,0 STRAUSS ST,"PITTSBURGH, PA",15.25,6,Residential,Perry South,6,26,42003261400,1,26,1,1-12,-80.02002712,40.46442366
0045S00339000000,0 N CHARLES ST,"PITTSBURGH, PA",221.1,3,Residential,Perry South,6,26,42003261400,1,26,1,1-12,-80.02034267,40.46436268
0045S00385000A00,2205 N CHARLES ST,"PITTSBURGH, PA",487.95,3,Industrial,Perry South,6,25,42003261400,1,25,1,1-12,-80.02016933,40.46314748
0045S00386000000,2201 N CHARLES ST,"PITTSBURGH, PA",693.78,4,Commercial,Perry South,6,25,42003261400,1,25,1,1-12,-80.0201246,40.46306293
0046A00003000000,0 SHELTON AVE,",",257.32,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01197612,40.4720034
0046A00005000000,2650 LELAND ST,"PITTSBURGH, PA",487.96,0,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01247889,40.472173
0046A00012000000,2636 LELAND ST,"PITTSBURGH, PA",600.4,15,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.0123225,40.47172994
0046A00016000000,0 LELAND ST,"PITTSBURGH, PA",85.78,4,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01225859,40.4715246
0046A00017000000,0 LELAND ST,",",17.16,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01223139,40.47146021
0046A00019000000,2624 LELAND ST,"PITTSBURGH, PA",707.14,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01218803,40.47132375
0046A00020000000,0 LELAND ST,"PITTSBURGH, PA",85.78,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.0121664,40.47125303
0046A00025000000,0 LELAND ST,",",571.8,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01204352,40.47086236
0046A00026000000,0 LELAND ST,"PITTSBURGH, PA",17.16,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01202338,40.4708302
0046A00028000000,0 LELAND ST,"PITTSBURGH, PA",5.73,18,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.0124591,40.47080954
0046A00029000000,0 LELAND ST,",",5.73,18,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01247314,40.47084517
0046A00031000000,0 LELAND ST,"PITTSBURGH, PA",223.01,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01254948,40.47102888
0046A00036000A00,0 LELAND ST,",",346.89,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01265481,40.47136993
0046A00037000000,0 LELAND ST,",",5.73,18,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01267387,40.47144206
0046A00037000A00,0 LELAND ST,"ALLISON PARK, PA",5.73,15,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01266869,40.47140456
0046A00044000000,2645 LELAND ST,"PITTSBURGH, PA",592.77,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01282424,40.47189578
0046A00049000000,0 NORWOOD AVE,",",274.46,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01302307,40.4721512
0046A00060000000,0 NORWOOD AVE,"PITTSBURGH, PA",11.44,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01288215,40.47138511
0046A00069000000,2612 NORWOOD AVE,"COPPELL, TX",270.29,1,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01267351,40.4707846
0046A00090000000,0 N CHARLES ST,"PITTSBURGH, PA",13.35,15,Residential,Perry South,6,26,42003261400,1,26,1,1-23,-80.01246315,40.47005247
0046A00093000000,2832 N CHARLES ST,"PITTSBURGH, PA",266.84,0,Residential,Perry South,6,26,42003261400,1,26,1,1-23,-80.01268152,40.47000997
0046A00096000000,2830 N CHARLES ST,"PITTSBURGH, PA",170.3,2,Residential,Perry South,6,26,42003261400,1,26,1,1-23,-80.01283055,40.46998161
0046A00104000A00,2810 N CHARLES ST,"ZELIENOPLE, PA",547.03,1,Residential,Perry South,6,26,42003261400,1,26,1,1-23,-80.0134423,40.46985911
0046A00105000000,2808 N CHARLES ST,"ZELIENOPLE, PA",476.5,1,Residential,Perry South,6,26,42003261400,1,26,1,1-23,-80.013487,40.46985334
0046A00105000B00,2808 N CHARLES ST,"ZELIENOPLE, PA",451.73,6,Residential,Perry South,6,26,42003261400,1,26,1,1-23,-80.01353177,40.46984421
0046A00123000000,0 NORWOOD AVE,"PITTSBURGH, PA",301.15,20,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01339792,40.47120367
0046A00127000B00,0 DELGAR ST,"PITTSBURGH, PA",5.73,18,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01362481,40.47142376
0046A00132000000,2655 NORWOOD AVE,"WILMERDING, PA",588.97,15,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01351083,40.47192416
0046A00136000000,0 LURAY ST,"PITTSBURGH, PA",388.82,15,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01375434,40.47185165
0046A00184000000,227 LURAY ST,"PITTSBURGH, PA",186.81,5,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01419299,40.47149563
0046A00185000000,229 LURAY ST,"PITTSBURGH, PA",501.29,18,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01424867,40.47149268
0046A00186000000,231 LURAY ST,"PITTSBURGH, PA",505.1,11,Residential,Perry South,6,26,42003261500,1,26,1,1-23,-80.01430354,40.47148561
0046A00206000000,2603 LINWOOD AVE,"ZELIENOPLE, PA",455.54,6,Residential,Perry South,6,26,42003261500,1,26,1,1-12,-80.01437871,40.47025193
